price,address,status
"$6,925,000 ","35 Hudson Yards #6401, New York, NY 10001",#NAME?
"$1,975,000 ","517 W 29th St APT 7E, New York, NY 10001",#NAME?
"$975,000 ","517 W 29th St APT 7F, New York, NY 10001",#NAME?
"$825,000 ","517 W 29th St APT 2G, New York, NY 10001",#NAME?
"$895,000 ","315 7th Ave APT 17D, New York, NY 10001",#NAME?
"$840,000 ","225 W 25th St APT 2F, New York, NY 10001",#NAME?
"$2,205,000 ","231 W 26th St APT 1, New York, NY 10001",#NAME?
"$550,000 ","408 W 34th St APT 2E, New York, NY 10001",#NAME?
"$1,410,000 ","517 W 29th St APT 4F, New York, NY 10001",#NAME?
